name,id,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,kilojoules,start_lat,start_lng,end_lat,end_lng,map.id,map.summary_polyline
Austin Marathon,13644935117,2025-02-16T07:05:53Z,43142.3,13341,13450,314.4,3.234,6.8,,,,,30.26,-97.74,30.27,-97.74,a13644935117,ytuwDlxqsQrE~@rBz@tFvArAp@lEv@t@`@xN~DrANzRzF~Ch@xL~CpE~AnG|At@`@rN`DxIdCbNlA~E|Dx@`AxIfGfFlEnIvFvKzFnAbA~PrI|WnKjBjARZBp@{AnC{@jAyCxF}EbIeA~BY|AUTs@KyGiDyAaAiAsAaAEgBy@oGuDqh@}XmUsLo@e@wAyBwAsAwBcAsCwB_Be@kCgB_A]k@a@?WULwD{BcC}@_MiCcKeD{TmMaTmKcBeByAGeCaBaBCqPsEm@@{@^Wf@kAzD_@bCKxAW|@y@tAD^OvBs@pCwBzKm@nHa@rBaAhBqClDsA~BcFtPwAbDyEzH{@jAIEs@dA?RtA|BZlBo@fCkEdKu@d@eFJg@ReCtE_DxECVgArAsGfCcAE}@a@QHqFbIqArA}HhFuMxHuLjImAl@uD`C_]bVqAr@sDp@}Id@qGBGSd@wAXc@bQuf@nBuEv@aD`FeMbKcTvEqJjDqGjDoI@]nBsExH{KnByD|@_EfAgIt@iDrGiJhDuFZkBC{Cf@{Kb@uChAwEfAgHfCkMt@gERcB}BcAqB_@aAGsImCaADqBh@aABgMw@wJa@qJIgDa@c@N}M}@iBP{I`EwEhBc@?gOmHi@k@eC{AS?[c@gEiByDeCwAk@Ug@TU[\sAg@qAy@i@s@HAvBmHnCqGbCsHc@g@cEuBwAsAeBu@CWUS{@Ou@i@eBk@{LeHwE{BqG_EvHkSToDfKwYh@q@jLxGhPnGmCbIgHrQc@rA@\bUpLbF~Cva@fUpBv@vARrB]dEZVKXsGKgKPeCTeA|@aBnCiDhDkKp@eEx@iBBqAn@EI_@Nc@~FmKzBkBrAd@r@Cdi@_HfKeB`CGjB_@I}CwAcOEmBnAw@x@gA~AeG~@gAhBoAfa@oN|AuAtD_GUq@kByAsC}@kE_CeKuEaHeEdCkK|@oChC{KlBVnh@vRnLnDn]jM`@a@fAaD`A{EpMyh@LGvB~@GlCQfAKhHa@rEQpFEnDStBd@~FUhA^x@UhAPx@Gv@XlBCr@y@FiBvAaAbBe@jBKj@FJjAn@Xj@d@K@n@U`@u@`D[h@i@pDqEbReCzJc@~@o@xDmA`Fk@bBaBnGAh@oCzJuAhG{@jCy@pEaBzFwC~LQpAsAfEKJwIcD}C_By@EeIqCkDzMq@pDg@hAStAB`@]r@m@pFcAjDMJi@_@oFcAeJgCgGgA[p@uAfHm@xDkAjEm@~FSh@
I’M BACK MF,13681631134,2025-02-20T13:48:13Z,8452.2,2951,3151,35.1,2.864,4.38,,,,,30.64,-97.68,30.64,-97.68,a13681631134,_``zDrvdsQDB@FEd@B\CL@bALn@^`@BHLHd@D@DANDHFCBCASPg@@Y?}@@OCa@B_@GW@WAMBECOD_@CQBYYaEC_BEg@SgAEo@GS_AiBGo@Me@Kw@W}@Cc@Ic@IUOQo@WSCg@Qw@IQIc@u@WOSSK[SWiAq@]OKAMSsAcASIEN_@OG@AB`An@CDGAKMYOIJ?Dc@h@g@p@CHBFb@\\p@JXHNNv@Xd@?Fb@~@RjADh@]XGJJFJZFJ`@ZRn@N~A@f@Cn@HtBPlAHfAJ`@ZnDHh@BDBN@HCH@j@CPF~@AVBTFN`@f@P`@ATLb@HjAQd@?TBN^j@BPAHOZBr@Ih@G~@]r@y@dAGNA`@HVJXBPKFSDa@`@QDCJIDKPOHMTWFWVKBEFaAF_@e@IFSZoBH_@C_@BoA@]De@CiANi@Eu@]e@G_@CS@iBAg@IKCMI{@u@UGe@CmAVQPOFEFI\INUXWd@QNEHONENQLK\GJKl@AZB^ELIFERPdDAJFd@Nr@HNTT?HEJD`@Mz@N~@Ld@^|@BLJZBTb@l@BPDBL^LR@JD~@BN?NDZBB@ZAFG@]\CFFdAFZDfA?XEL?N?d@BBD??KGOHqAGiAK]?w@BGd@g@AMEO?SEe@EiAGWW]EWIKEQS[Mi@Oa@GEAKMOEOKq@Iq@Ds@?UEOBS[c@Oo@EICq@E[Au@GQ?[Dq@NIBEAUCEBYAEB_@DQHKJ_@BELEL[TQDGN[?Gf@g@FW?MDITILOn@IDE^?b@BPFt@p@LHr@Rt@CRDb@CfABLB^Tl@LVJF?JGJ@F?NMJEXFh@Kt@@f@BTC^BVGX@zAKtA?TGFIDIVMRARQLE^q@XOTULEJMMaAEKAYFUbAgARi@R}BAc@HU@UG[_@u@Na@?e@CQEQKy@?SMW]k@GOG}A?y@C[EO?[CCGW_@iDUuCIg@IeB@QAM@GAeAYaDWa@Ek@YoACg@GOI_@Si@Ye@Oy@e@{@?Ii@i@KGKOE@AFh@^NRb@z@L`@Bl@Al@?j@DRHJ?PVr@D^?PEVEBAPQl@?rC@j@Et@BZAx@@VALBbAADB\AD@RBNCp@FdA?hA\JhCNn@CR@h@EZB~@Ej@@LKCODa@AYBe@AGCo@Ik@
Hit the rollie store with the rollie on,13687759655,2025-02-21T09:10:13Z,8155.6,2648,2713,41.4,3.08,5.1,,,,,30.64,-97.67,30.64,-97.67,a13687759655,wb_zD`kbsQUo@Ks@IQGAa@H{@^a@HIF?JFLVpA?RF\L\^~AJj@VjAFRRPP`@BPDNBBL~@PPL?LHbF{A`@OLON?LGXCJABHV?XIPDJGx@@dBIxCCtA@h@Ex@Fh@FNABEEq@@g@EmD?cCBe@Aa@@EEcCB[Ck@@o@AE@KCSC}@@GYgCMg@_@aCOo@Uo@EC]JYFIDO@o@RSBYPmAd@i@NEBm@JGDK@EDUFw@d@ILID_@`@U`@]jAMfA@jACHBj@Gt@BFEJ?L@b@CPW|AEFETGPEXITCj@Kz@I`@Ad@DJBVCd@Fx@BJ@VH`@APE@G?SFE?CBS@{@VKJeAZWDa@PCVARDLFd@ADCDKC}A@ICk@DQAi@BCAe@Ai@DqA?kACYBeA@wAGKBIA_@?OCkAGMD]Ai@HOAiAV_@Vw@L_@LOLYBSJSZKAYLa@JUJK?{@XQDW@UHe@HOHINUJkAZ_@^Y@IJ?FBBxBxAPNVLZXDAPFJLLDp@f@NRNZFHb@VHJP`@LLdANh@RNBRJVDZXL|@T|@NvANf@Bd@JVv@jAJ`@LtBBbABVAVDT@f@P|ABn@Cl@B|@AJFTCx@@BD|AMhAGzBGfA@^CV@LCTBz@CDEv@DF@?@g@BOB_@?sA@O?_@BEA{@HcA?}@LmAAiACc@@WASEM@k@AYBI?s@Cm@EW@MCEKeAAaBGy@OkACk@EQEQMOQ_@MMS_@Gu@IUI{@Ou@K[CWOu@IQUKOAqAe@U?a@EMIOOOa@m@_@Oc@YYSK_Am@SEa@a@SKKKUK_As@_@YAKLET@DCLQtAi@RCHONIb@KBC\GP@hA[VKREb@Qb@IP]XIR@LOl@QF@ZGRQVMTCHEb@KVDZGn@APBX?`BDRAr@Bd@AH@BCTDXGp@D^CD@PC~A?b@Cb@?NDRCb@?LCv@Bz@AFMBU?MESZ[xBk@RKJAPKp@ILIh@ODEJEfAMLEh@?\ED@r@?JANIDKOYGCEAMFIJPc@F}@E{ABc@CMKKQDQAo@NGD
cd,13687853918,2025-02-21T09:58:11Z,1533.9,573,573,8.2,2.677,3.88,,,,,30.64,-97.67,30.64,-97.67,a13687853918,_u~yD|wbsQDCP@n@CPKTYD[@a@BICK?g@CGDaAESg@Ki@JYPMBc@NYFa@NQBSJQDEFQJMXi@HKHO@SJM?a@QMMYuAg@gBGc@g@iBQ}@MIMJE?cA\a@HILB`@Rz@Dd@ATCPTt@Fj@Nj@AP
Wonderful,13698452319,2025-02-22T11:38:56Z,13320.3,4434,4434,57.0,3.004,5.0,,,,,30.64,-97.68,30.64,-97.68,a13698452319,_f`zD~sdsQFn@DDRE`@BDLJCDZFQHGb@FZCLBFP@^DLEJC^JhB\^PXj@F?XHBBGAUN_@DY@eCGw@BK@eBCU?e@K}@?[Mm@SmDG}AgAsBEU?YGOS{AYy@SiAS[y@_@sA[]ASOOa@IKm@_@]q@OMw@i@e@S[YuBuAo@e@@GJGPFLCZY|Ag@RStD{@xAg@LILUf@Ih@Yt@Gr@_@~@UdFA~CFv@GVFr@EbECnD@FKKs@DYDMVQ|FeBp@[h@MRHj@EdC?`@GpDCxA@^EdANt@A?aAGe@B_BEaHBwAG}EGkA[aCe@iCa@aBIAcBj@y@PML_@Fi@VILW?gBj@s@^_Az@Ud@_@dAIh@Cv@BnCClAWxAc@fB_@dD@d@DNCz@FbAL|@EHcBZwBn@e@RKLCNPx@APGBgJBuAGw@FkA@{EI{A@cATg@\aARc@Te@JY\eA\kE`A]V{Ad@QLEJY@SPGMiAeAqF_H?SVUHQ?QK]]o@gC_Ec@yAk@aAiAuCBIjD_CJFdA`C\n@HFhAcAFKiAoAcAAy@_@iChBc@VENpBjEl@hBpClEXp@DNCH]b@APXb@XT^r@lA~Ah@b@zAfBvAdADD?LGBIIWIEFRDl@d@AHKCGMWII@cAvAMVd@h@LTb@fAJh@z@jBh@lCDp@PTF^HfALz@BfAC|AJbAHXJt@B|@Nt@ALF\HrAFR?TJTB`@FlBAp@BVr@~@VbC?\O\?NN\NNJ\Ql@@h@Eb@K|@Oj@[d@_@^Ub@AJBPR|@AT]Hu@|@OD_@`@]Fa@XAFE@_@DyAEkBP_CCkDTi@K_@Sc@IsAIaADsASgAcAm@I}A^]TOh@]b@IDh@k@Ne@f@YpASp@HfAz@r@Rv@@nAGx@Lp@Xr@HzCQpAAj@DjBOnB?VMR?NS\Mh@c@V[H?JSXWRM@OYgAJ]h@k@b@u@PiAJsBJ]?Oe@u@AWJSBc@UyBg@}@O_@?oBEo@I{@EM@Ke@uD?_@GMS}BGaACiBS_C?a@Kq@S[MsAa@qBy@eBOo@w@aBg@g@G?@FLD`@\t@~ADPAhBD`@x@nAL^EZKNWNW`ADbEAbCDlDHhD?\VJ~CDpFIBSIaABWG_BNUz@GJCBK?UUy@Ik@
Felt a little too good for easy miles,13717171295,2025-02-24T14:00:21Z,9690.1,2796,2796,48.4,3.466,5.42,,,,,30.64,-97.68,30.65,-97.68,a13717171295,}``zDjvdsQLEPB@F?XGZLrCd@f@FNr@LATFDD]Rk@B_BCe@BSOo@@OHQAe@@KQ_EESEgCMa@OmBYq@a@g@Oc@Cg@Ka@W}AOg@C_@Ou@KMi@Mk@Wm@Mo@E[YQi@g@[O]Y_@{@i@o@Q]W_@a@eBoAMICMRIV?RUZOr@IXMXYn@GFIrAYPM`AU\ENKHUDAl@O\QnAWZUZCh@SLFd@EnABPEdBHTCZ?TDx@@z@MPF^@p@Ad@Cd@BbAGfCAx@BPE?UKYBGCOXc@n@QDGl@EHIf@IBGj@Ob@Wf@IRWv@IDEZPRKn@ChANDGdAAFGVCLDvA@p@KdA@LFLEXFNE^FZABBREEiABWA{ABKES@oBCMBe@G}C@gDEq@B]EM@SKw@Co@Mi@A]K[@QQg@MiAMYSq@_@?MLIAWJc@@QF{@b@YD[RYBi@T[B]R{@Xq@j@KRUPAHm@`BCb@GT@PCl@?z@Dl@Gd@B\ENA\EL?POd@EZGDIp@KLCVBNQvASh@Or@iA`@ONCXYdA?^Jt@CFa@X[B[LQV?ZL~@EF{@AYCe@BgDBSCiA?SEkABQFQEcBBgBAg@G_BAi@B_@P[@s@b@[DS?k@Z]DSHQZM@{@^oEfAUTYBSLe@JYVi@LCH?Df@`@RDFJALo@SbAv@?Dc@[WAm@bAc@f@?HBFPFRVBLJJRd@ZjAz@bBJb@NhA?LL\Bf@BHNJFTL~AHn@B|ACTFrANz@@^FXHrAHXFhAAJJ\Hx@EHNPCZJj@?VC\BPA`Af@f@Rd@HfAJv@Oz@@LRZPd@Ov@?`AEJIbASj@MFQ\MH[b@Ab@Pp@B\a@F_A`AIN_@Za@FOTSLyBASFwAHkBC{@F_AAYHYCs@?[Ua@K{BGcA?g@Oa@WAIQMg@Us@EKF_@?KHQ@e@b@GP?HCLSNc@v@c@d@EP[TWhAHA?IL_@N]RQJa@HA`@g@^o@Tk@h@c@J@TKTDb@I\JnA|@f@Rl@C\FfAENF`@?h@LXNPAXLPG\@LGf@?`@ItCBl@IZBLEP@LGDBXEDBBCn@Bz@WNOZMVU?KLA^k@TGVUNIEODG?KGGO_@?QFS~@wAXs@LiB?a@HWDWK]OQKY@QLW?YCCBIUuBs@gA
cd,13717257825,2025-02-24T14:54:01Z,1956.4,662,662,10.2,2.955,4.64,,,,,30.65,-97.67,30.64,-97.68,a13717257825,ew`zDvhcsQi@q@q@q@e@u@i@g@Y]OYm@m@MWAKDCBDCXLRl@v@JF`@j@FBdAxAb@^PXB?@FZVX`@f@b@JBRPD@NHLLJBh@b@NHFHPJHLNFH@^Vd@RBFLJ`@p@h@VTj@ZLFFj@JZHHHF?h@N^PFFL`@Hb@T|@LlANh@Bd@L\R^HDZd@DPFj@F|@AFBZAFFTAFBT
NOKIA,13724147701,2025-02-25T09:15:11Z,11272.9,3882,4694,66.6,2.904,8.34,,,,,30.64,-97.67,30.64,-97.67,a13724147701,gb_zDjmbsQGk@KUc@wBIGEAIHoBf@IFANBLAr@BXVnAXx@D`@L`@?TBDLADBd@`BFDLPJj@Pn@BVRTR@NFHGNGt@Mf@Wj@OvAg@PMz@QNHv@CXE\?TFXCRBt@Cd@Gr@AXBfAGp@@HFTCFDNEnAHXCBM?o@GyH@iEEcB@WAgB]qDUwAY_B[mAGEYAIFM@o@Z[HU@KH}Al@SNS@MBmBl@]Pk@j@i@x@Up@Id@Il@At@IVHbACL@LERBTEP@l@U~@?Ji@`B?d@Oh@ATKb@Cv@KTsAl@GLANKVCJ@DGTIJ[FVt@@XERQJq@NSPCND@BAFk@CUCMDKLGWTIVARZbBAHCDkIB_BIcAJcB@eEMIBUAg@F[?eATc@Xi@De@NQNa@DKHQVy@Zq@LeA^WAOH{@LMFQVqA`@YPIH[DKN@FHFdCbBVJLRp@Z~@n@\r@j@X^t@ZLd@B|Bp@NXJr@HRJl@PrAJf@Fl@JXX`@\r@FRHx@BdAJrAB`AZ~C?bBDd@CPDxB?\Mt@EhA@LMxB?lBE|@S|B@l@Fb@R^z@r@N@FCJKHc@NK`@GDEGEE?YN]r@KFI?}@_AISI_@As@PwC?uABi@?aADe@ASDmAH_@Bq@CiCG]@GAGF_BGeAMm@@OGgABWEwAOaAIgAG]_AeBGm@e@eCM_@K}@Mc@GI{Bq@w@Ke@{@k@a@Ue@YY}@i@_@Mc@a@cBcAs@q@?Id@CNQ`@Wz@QTSp@WN?NGPArBm@x@Yb@]f@IVQZMl@Ih@YhAUf@Df@E^@j@CJB`BFZCPF^?HDv@Ir@DtAIlIEFC?IKk@Hc@JOr@Sl@In@YnBi@FGPELOLEHIf@ELNF?VG^?FC^A\Hz@?j@AZIfAC`@DhAIj@FZCtAL^ADw@E_ABSCeA@QEkD@m@Cw@@iACS?m@BaAKgC@GHIKEAO]RRs@AMU_Ba@_Ca@}AKEk@XkI`CoAt@i@j@QV[~@OnAC~@BxBErASpAGN]dBSrAE|@I\KPKJ}@b@UR]rACV?HXjANBjA[l@_@j@OJMPAf@OTFj@Gv@A`@D~E?x@Ep@@VGAI?i@CEy@CiADKJIl@IDyA?]IU[EKA]AqAMg@Ci@EIg@CQB}@b@qA`@
wu,13733083572,2025-02-26T08:56:04Z,3747.4,1159,1172,22.8,3.233,4.9,,,,,30.64,-97.67,30.64,-97.66,a13733083572,ez~yDbybsQp@[x@ONDP?`@Ej@ARBTJDAJ@TABAJ@J?TGJBP?b@Mn@F\CX@HENABBJCJBNANBJAXDDAz@DRFZAHOAM@e@Cs@AI@u@Eg@@QCO@KEs@BOA}A@c@CeE?c@BOE]@MC_ACMA[K_AU_BUqAK]AMCEWuAEMMAKPW?MLQDGAEDu@Nk@\K@i@VKAQHQ@k@T_@HKHYHIDCFQDKFq@t@SZ]fAQbACj@BFCF?d@ANBLALCNFVGZ?FCTB^It@Op@ALED?FMVI^CDEh@GPAVKr@GP?ZCHOTu@TWPIHENUjA@VFNA@?DLf@HLH?LELKDUW_BEa@Fa@DMZMREFIBM?ECE@YRwBPiAT{@Lo@NeAD}@HKBIEsA?_ALiAFY^iACMUYIQG[@MHEr@Oz@Wd@QBGIWk@uC
I LOVE THE TRACK,13733410292,2025-02-26T09:19:04Z,7607.6,2346,2362,0.0,3.243,6.5,,,,,,,,,a13733410292,
