distance,elapsed_time,elevation_difference,moving_time,split,average_speed,average_grade_adjusted_speed,pace_zone,run_id,average_heartrate
1611.9,506,10.2,506,1,3.19,3.27,3,13644935117,
1609.8,486,31.6,486,2,3.31,3.5,4,13644935117,
1607.7,458,10.3,458,3,3.51,3.57,5,13644935117,
1608.4,456,0.5,456,4,3.53,3.58,5,13644935117,
1610.5,439,-36.0,439,5,3.67,3.51,4,13644935117,
1608.0,480,-23.5,443,6,3.63,3.54,5,13644935117,
1612.4,438,-6.0,438,7,3.68,3.67,5,13644935117,
1607.6,453,3.2,453,8,3.55,3.57,5,13644935117,
1610.1,472,22.3,472,9,3.41,3.56,5,13644935117,
1607.8,468,9.0,468,10,3.44,3.52,4,13644935117,
1611.7,471,2.3,471,11,3.42,3.49,4,13644935117,
1607.8,464,-2.8,464,12,3.47,3.51,4,13644935117,
1610.6,482,4.5,482,13,3.34,3.49,4,13644935117,
1609.5,477,12.1,477,14,3.37,3.44,4,13644935117,
1607.0,515,4.7,477,15,3.37,3.4,4,13644935117,
1611.1,460,3.3,460,16,3.5,3.53,4,13644935117,
1610.8,480,-5.5,480,17,3.36,3.37,4,13644935117,
1613.0,469,-19.8,469,18,3.44,3.37,4,13644935117,
1602.5,503,18.6,503,19,3.19,3.34,4,13644935117,
1609.6,487,-23.5,487,20,3.31,3.24,3,13644935117,
1610.6,532,-16.0,532,21,3.03,2.98,3,13644935117,
1608.3,536,-4.4,536,22,3.0,2.99,3,13644935117,
1610.6,586,-0.6,578,23,2.79,2.79,2,13644935117,
1609.1,590,1.4,568,24,2.83,2.84,2,13644935117,
1608.4,592,1.4,592,25,2.72,2.72,2,13644935117,
1609.5,626,3.6,626,26,2.57,2.6,2,13644935117,
1298.0,524,10.2,520,27,2.5,2.63,2,13644935117,
1611.6,550,-7.2,550,1,2.93,2.92,2,13681631134,
1609.7,663,8.0,563,2,2.86,2.91,2,13681631134,
1607.8,570,-3.8,570,3,2.82,2.82,2,13681631134,
1610.7,581,-2.7,581,4,2.77,2.78,2,13681631134,
1608.6,549,8.3,549,5,2.93,2.98,3,13681631134,
403.8,140,-4.1,140,6,2.88,2.83,2,13681631134,
1611.5,552,11.3,552,1,2.92,2.97,3,13687759655,
1607.6,522,-12.5,522,2,3.08,3.04,3,13687759655,
1610.1,512,-14.3,512,3,3.14,3.1,3,13687759655,
1610.6,531,3.7,531,4,3.03,3.06,3,13687759655,
1610.7,497,12.0,497,5,3.24,3.32,4,13687759655,
105.1,43,-0.4,33,6,3.18,3.17,3,13687759655,
1533.9,573,1.5,573,1,2.68,2.69,2,13687853918,
1609.4,537,0.4,537,1,3.0,3.02,3,13698452319,
1610.2,544,18.3,544,2,2.96,3.06,3,13698452319,
1611.0,584,-5.7,584,3,2.76,2.75,2,13698452319,
1609.2,559,-15.3,559,4,2.88,2.83,2,13698452319,
1608.5,580,-3.3,580,5,2.77,2.77,2,13698452319,
1608.9,569,4.5,569,6,2.83,2.86,2,13698452319,
1609.9,477,-3.5,477,7,3.38,3.38,4,13698452319,
1608.3,434,5.5,434,8,3.71,3.75,5,13698452319,
444.9,150,-2.6,150,9,2.97,2.94,2,13698452319,
1613.1,533,0.6,533,1,3.03,3.05,3,13717171295,
1608.5,489,17.8,489,2,3.29,3.4,4,13717171295,
1607.0,424,-5.5,424,3,3.79,3.78,6,13717171295,
1611.4,423,-18.4,423,4,3.81,3.73,5,13717171295,
1608.3,489,4.0,489,5,3.29,3.33,4,13717171295,
1610.1,429,-4.4,429,6,3.75,3.76,6,13717171295,
31.7,9,0.2,9,7,3.52,3.57,5,13717171295,
1609.9,557,3.9,557,1,2.89,2.93,2,13717257825,
346.5,105,-1.6,105,2,3.3,3.29,3,13717257825,
1610.7,541,9.6,541,1,2.98,3.02,3,13724147701,
1608.4,629,-9.9,557,2,2.89,2.86,2,13724147701,
1611.6,568,-13.6,568,3,2.84,2.8,2,13724147701,
1606.8,583,-1.9,583,4,2.76,2.79,2,13724147701,
1611.1,587,16.0,587,5,2.74,2.83,2,13724147701,
1609.8,548,4.3,548,6,2.94,2.97,3,13724147701,
1609.0,495,-5.6,495,7,3.25,3.24,3,13724147701,
5.5,2,0.0,2,8,2.75,2.75,2,13724147701,
1612.2,506,12.9,506,1,3.19,3.25,3,13733083572,
1607.0,496,-5.3,496,2,3.24,3.23,3,13733083572,
528.2,170,-7.7,157,3,3.36,3.28,3,13733083572,
1610.8,416,0.0,416,1,3.87,3.87,6,13733410292,
1610.7,479,0.0,479,2,3.36,3.36,4,13733410292,
1607.4,546,0.0,540,3,2.98,2.98,3,13733410292,
1612.5,502,0.2,499,4,3.23,3.23,3,13733410292,
1166.2,419,0.1,412,5,2.83,2.83,2,13733410292,
1155.1,415,-7.1,415,1,2.78,2.76,2,13733478952,
1610.6,549,-0.8,549,1,2.93,2.95,2,13751358548,
1610.2,581,3.1,581,2,2.77,2.8,2,13751358548,
1609.3,574,-7.3,574,3,2.8,2.78,2,13751358548,
1609.3,624,0.9,547,4,2.94,2.97,3,13751358548,
1608.6,568,6.3,568,5,2.83,2.89,2,13751358548,
1608.4,511,-0.9,511,6,3.15,3.17,3,13751358548,
396.5,119,2.7,119,7,3.33,3.4,4,13751358548,
1609.6,551,0.8,470,1,3.42,3.44,4,13762050879,
1609.8,450,0.4,450,2,3.58,3.58,5,13762050879,
1609.5,469,-1.5,469,3,3.43,3.44,4,13762050879,
1608.5,469,2.9,469,4,3.43,3.47,4,13762050879,
1611.0,459,-3.2,459,5,3.51,3.5,4,13762050879,
1610.2,458,4.2,455,6,3.54,3.58,5,13762050879,
1608.7,443,-2.8,443,7,3.63,3.66,5,13762050879,
1608.5,445,-1.6,445,8,3.61,3.61,5,13762050879,
1609.1,448,7.8,448,9,3.59,3.65,5,13762050879,
1612.3,462,-2.0,462,10,3.49,3.51,4,13762050879,
5.0,3,0.1,3,11,1.67,1.77,1,13762050879,
1611.3,599,2.3,591,1,2.73,2.74,2,13762224665,
1195.8,424,5.2,424,2,2.82,2.94,2,13762224665,
1609.4,534,-1.0,534,1,3.01,3.03,3,13778229157,
1611.0,737,-3.5,566,2,2.85,2.84,2,13778229157,
1608.3,554,4.0,554,3,2.9,2.94,2,13778229157,
1608.9,547,-0.9,547,4,2.94,2.95,2,13778229157,
1611.0,487,-2.8,487,5,3.31,3.32,4,13778229157,
810.8,212,-1.3,212,6,3.82,3.82,6,13778229157,
1609.4,563,3.6,563,1,2.86,2.9,2,13778332960,
404.0,140,1.9,140,2,2.89,2.98,3,13778332960,
1610.8,616,-2.1,556,1,2.9,2.9,2,13790634217,
1610.9,539,5.3,539,2,2.99,3.03,3,13790634217,
1608.3,581,20.2,581,3,2.77,2.89,2,13790634217,
1608.4,588,-11.3,588,4,2.74,2.71,2,13790634217,
1610.3,563,-11.0,563,5,2.86,2.83,2,13790634217,
1607.9,572,-3.6,516,6,3.12,3.12,3,13790634217,
1610.9,492,6.3,492,7,3.27,3.32,4,13790634217,
18.9,8,-0.4,8,8,2.36,2.25,1,13790634217,
1609.8,471,0.4,471,1,3.42,3.45,4,13797015564,
1611.8,458,18.5,458,2,3.52,3.64,5,13797015564,
1608.2,430,-5.9,430,3,3.74,3.72,5,13797015564,
1609.0,424,-18.1,424,4,3.79,3.72,5,13797015564,
1610.7,428,4.2,428,5,3.76,3.81,6,13797015564,
1608.4,422,1.8,422,6,3.81,3.85,6,13797015564,
1608.1,408,-6.4,408,7,3.94,3.92,6,13797015564,
324.9,83,-0.2,83,8,3.91,3.95,6,13797015564,
1611.9,495,-0.6,495,1,3.26,3.27,3,13797123263,
481.9,152,1.0,152,2,3.17,3.24,3,13797123263,
1611.2,626,-0.6,562,1,2.87,2.88,2,13815292846,
1609.9,541,12.5,541,2,2.98,3.05,3,13815292846,
1607.1,526,-15.2,526,3,3.06,3.01,3,13815292846,
1611.7,579,6.0,532,4,3.03,3.07,3,13815292846,
1606.9,466,-7.4,466,5,3.45,3.44,4,13815292846,
1611.4,515,4.6,515,6,3.13,3.17,3,13815292846,
1410.6,467,0.0,467,7,3.02,3.05,3,13815292846,
1610.2,455,12.5,455,1,3.54,3.61,5,13826498331,
1609.8,459,-18.2,459,2,3.51,3.44,4,13826498331,
1609.3,461,-10.6,461,3,3.49,3.45,4,13826498331,
1609.3,448,3.5,448,4,3.59,3.64,5,13826498331,
1610.0,455,15.1,455,5,3.54,3.65,5,13826498331,
1610.2,463,-5.1,463,6,3.48,3.5,4,13826498331,
1607.6,455,3.3,455,7,3.53,3.59,5,13826498331,
1608.7,435,-13.3,435,8,3.7,3.65,5,13826498331,
1610.0,419,-3.6,419,9,3.84,3.85,6,13826498331,
1611.3,441,13.9,441,10,3.65,3.77,6,13826498331,
1608.7,434,12.2,434,11,3.71,3.78,6,13826498331,
1607.3,414,-19.3,414,12,3.88,3.8,6,13826498331,
1612.9,425,-1.0,425,13,3.8,3.8,6,13826498331,
211.8,53,1.1,53,14,4.0,4.03,6,13826498331,
1611.2,488,0.4,488,1,3.3,3.33,4,13843007158,
1609.7,451,17.6,451,2,3.57,3.68,5,13843007158,
1611.1,442,-4.4,442,3,3.65,3.64,5,13843007158,
1607.6,437,-18.9,437,4,3.68,3.61,5,13843007158,
1608.9,453,3.9,453,5,3.55,3.6,5,13843007158,
1610.3,418,-3.6,418,6,3.85,3.86,6,13843007158,
563.0,140,-0.8,140,7,4.02,4.02,6,13843007158,
1611.1,493,6.4,493,1,3.27,3.32,4,13843068966,
6.2,3,0.1,3,2,2.07,2.17,1,13843068966,
1611.5,548,-1.8,548,1,2.94,2.95,2,13855280405,
1609.0,561,-3.7,561,2,2.87,2.86,2,13855280405,
1608.2,564,4.6,564,3,2.85,2.89,2,13855280405,
1611.0,580,-0.9,580,4,2.78,2.78,2,13855280405,
1609.6,559,-3.6,559,5,2.88,2.89,2,13855280405,
1608.5,533,3.3,533,6,3.02,3.05,3,13855280405,
1609.6,565,0.6,565,7,2.85,2.88,2,13855280405,
240.6,92,-0.3,92,8,2.62,2.62,2,13855280405,
1611.3,515,-2.6,515,1,3.13,3.13,3,13862546870,
1608.0,442,0.1,442,2,3.64,3.64,5,13862546870,
0.0,1,0.0,1,3,0.0,0.0,1,13862546870,
1617.2,491,-10.4,476,1,3.4,3.49,4,13863102777,180.28125
1606.5,528,-0.2,528,2,3.04,3.09,3,13863102777,176.87912087912088
1606.9,506,-2.6,506,3,3.18,3.23,3,13863102777,181.37882352941176
1607.5,567,-0.2,567,4,2.84,2.87,2,13863102777,175.76600441501103
1192.1,402,4.0,402,5,2.97,3.08,3,13863102777,176.60285714285715
1611.8,572,14.4,572,1,2.82,2.91,2,13863088243,170.44055944055944
766.3,221,-12.8,218,2,3.52,3.41,4,13863088243,186.08715596330276
1610.0,563,-2.2,563,1,2.86,2.89,2,13881032067,
1610.7,566,18.5,566,2,2.85,2.94,2,13881032067,
1607.5,571,-3.9,571,3,2.82,2.81,2,13881032067,
1609.6,579,-16.6,579,4,2.78,2.73,2,13881032067,
1611.0,622,5.1,556,5,2.9,2.94,2,13881032067,
1609.7,535,0.0,535,6,3.01,3.03,3,13881032067,
1608.8,495,-2.9,495,7,3.25,3.26,3,13881032067,
814.2,238,0.8,238,8,3.42,3.44,4,13881032067,
1611.8,501,0.1,501,1,3.22,3.24,3,13890922662,
1610.0,502,18.8,502,2,3.21,3.32,4,13890922662,
1609.1,555,-8.9,478,3,3.37,3.34,4,13890922662,
1607.3,449,-12.4,449,4,3.58,3.53,4,13890922662,
1609.0,426,3.0,426,5,3.78,3.82,6,13890922662,
1610.7,449,-2.5,449,6,3.59,3.59,5,13890922662,
1609.3,468,21.0,468,7,3.44,3.59,5,13890922662,
1607.7,433,-7.4,433,8,3.71,3.7,5,13890922662,
1610.4,421,-14.0,421,9,3.83,3.77,6,13890922662,
1608.2,452,-3.6,452,10,3.56,3.56,5,13890922662,
1609.7,453,10.6,453,11,3.55,3.64,5,13890922662,
1609.1,516,16.3,516,12,3.12,3.21,3,13890922662,
1610.0,445,-20.5,445,13,3.62,3.54,5,13890922662,
212.4,65,0.1,65,14,3.27,3.27,3,13890922662,
1048.4,384,0.2,384,1,2.73,2.74,2,13891004241,
1611.8,485,-1.1,485,1,3.32,3.34,4,13907450290,
1607.2,480,19.5,480,2,3.35,3.48,4,13907450290,
658.2,188,-7.4,188,3,3.5,3.43,4,13907450290,
1612.5,407,0.1,407,1,3.96,3.96,6,13907656546,
1608.7,432,0.2,432,2,3.72,3.73,5,13907656546,
1607.3,435,-0.1,435,3,3.69,3.7,5,13907656546,
1610.0,435,-0.1,435,4,3.7,3.7,5,13907656546,
115.5,47,0.1,40,5,2.89,2.89,2,13907656546,
1612.0,524,0.5,524,1,3.08,3.11,3,13907793227,
1608.6,518,-7.0,518,2,3.11,3.1,3,13907793227,
440.9,136,-4.7,136,3,3.24,3.18,3,13907793227,
1611.9,553,6.7,553,1,2.91,2.95,2,13917441898,
1609.0,550,5.2,550,2,2.93,2.96,2,13917441898,
1609.2,620,8.2,553,3,2.91,2.95,2,13917441898,
1610.4,551,11.7,551,4,2.92,2.97,3,13917441898,
1608.9,528,-6.7,528,5,3.05,3.03,3,13917441898,
1610.0,527,-9.3,527,6,3.06,3.03,3,13917441898,
1607.8,537,-8.3,537,7,2.99,2.98,3,13917441898,
1608.5,533,-0.2,533,8,3.02,3.04,3,13917441898,
855.2,260,-8.1,260,9,3.29,3.24,3,13917441898,
1612.5,485,3.9,485,1,3.32,3.35,4,13927226428,
1609.7,475,6.1,475,2,3.39,3.43,4,13927226428,
1606.0,449,10.8,444,3,3.62,3.69,5,13927226428,
1610.5,474,8.4,474,4,3.4,3.44,4,13927226428,
1611.1,412,-8.1,412,5,3.91,3.88,6,13927226428,
1606.7,401,-10.5,401,6,4.01,3.97,6,13927226428,
1613.0,402,-5.4,402,7,4.01,4.0,6,13927226428,
218.6,58,0.0,58,8,3.77,3.79,6,13927226428,
1610.4,529,-7.1,529,1,3.04,3.04,3,13927417361,
1609.3,564,0.6,564,2,2.85,2.86,2,13927417361,
530.9,182,-0.6,179,3,2.97,2.96,2,13927417361,
1609.8,583,6.6,583,1,2.76,2.79,2,13947098864,
1610.9,559,6.2,559,2,2.88,2.92,2,13947098864,
1609.2,664,7.2,569,3,2.83,2.86,2,13947098864,
1607.5,566,9.2,566,4,2.84,2.88,2,13947098864,
1610.5,550,-11.5,550,5,2.93,2.89,2,13947098864,
1608.2,554,-6.9,554,6,2.9,2.89,2,13947098864,
1610.6,512,-6.9,512,7,3.15,3.13,3,13947098864,
1208.1,360,-4.6,360,8,3.36,3.36,4,13947098864,
1611.6,473,5.4,473,1,3.41,3.44,4,13956420916,
1607.9,461,7.4,461,2,3.49,3.54,5,13956420916,
1612.1,458,7.0,458,3,3.52,3.56,5,13956420916,
1607.5,455,11.8,455,4,3.53,3.59,5,13956420916,
1611.2,450,6.1,450,5,3.58,3.62,5,13956420916,
1606.0,464,9.7,464,6,3.46,3.51,4,13956420916,
1609.7,472,0.5,472,7,3.41,3.42,4,13956420916,
1609.3,459,-7.5,459,8,3.51,3.48,4,13956420916,
1608.9,456,-9.2,456,9,3.53,3.5,4,13956420916,
1612.3,466,-8.0,466,10,3.46,3.44,4,13956420916,
0.0,2,0.0,2,11,0.0,0.0,1,13956420916,
1611.6,539,-8.5,539,1,2.99,2.97,3,13956680868,
1608.7,519,-5.1,519,2,3.1,3.09,3,13956680868,
1609.8,473,-6.9,473,3,3.4,3.4,4,13956680868,
6.2,2,0.0,2,4,3.1,3.1,3,13956680868,
1610.6,572,-7.3,572,1,2.82,2.8,2,13966072253,
1610.1,631,-1.0,577,2,2.79,2.8,2,13966072253,
809.9,287,5.7,287,3,2.82,2.89,2,13966072253,
1611.2,558,0.4,558,1,2.89,2.91,2,13973562986,
1607.9,557,18.3,557,2,2.89,2.98,3,13973562986,
1610.3,564,-5.1,564,3,2.86,2.85,2,13973562986,
1610.6,695,-17.6,568,4,2.84,2.79,2,13973562986,
1608.8,571,3.6,571,5,2.82,2.85,2,13973562986,
1607.9,527,2.4,527,6,3.05,3.08,3,13973562986,
1612.6,407,-8.1,407,7,3.96,3.93,6,13973562986,
3.8,2,-0.1,2,8,1.9,1.8,1,13973562986,
1013.6,346,4.7,346,1,2.93,2.98,3,13973604628,
1610.2,454,15.4,454,1,3.55,3.65,5,13983023499,
1611.7,442,-2.1,442,2,3.65,3.65,5,13983023499,
1607.8,437,-17.2,437,3,3.68,3.61,5,13983023499,
1610.3,462,7.0,462,4,3.49,3.54,5,13983023499,
1606.8,458,-2.6,458,5,3.51,3.5,4,13983023499,
1610.1,468,2.1,468,6,3.44,3.47,4,13983023499,
812.7,223,-6.0,223,7,3.64,3.6,5,13983023499,
1610.2,564,7.6,564,1,2.85,2.92,2,13983099043,
16.2,6,0.5,6,2,2.7,2.98,3,13983099043,
1612.3,519,-1.3,519,1,3.11,3.12,3,13995543625,
1607.7,535,0.0,535,2,3.01,3.01,3,13995543625,
1610.2,559,-0.3,559,3,2.88,2.9,2,13995543625,
1607.3,580,0.1,580,4,2.77,2.78,2,13995543625,
1612.3,578,0.0,578,5,2.79,2.8,2,13995543625,
1608.0,535,-3.7,535,6,3.01,3.01,3,13995543625,
1609.3,536,5.1,536,7,3.0,3.04,3,13995543625,
101.3,42,-1.2,42,8,2.41,2.37,1,13995543625,
1609.4,551,-2.1,551,1,2.92,2.93,2,14011813862,
1611.3,655,4.2,575,2,2.8,2.84,2,14011813862,
1609.2,647,-2.8,586,3,2.75,2.74,2,14011813862,
1611.0,580,0.5,580,4,2.78,2.79,2,14011813862,
1606.2,554,-4.2,554,5,2.9,2.9,2,14011813862,
1612.0,523,3.8,523,6,3.08,3.12,3,14011813862,
0.0,2,-0.1,2,7,0.0,0.0,1,14011813862,
1611.8,491,0.3,491,1,3.28,3.31,4,14022134855,
1606.9,553,15.6,507,2,3.17,3.26,3,14022134855,
1610.0,480,-3.0,480,3,3.35,3.35,4,14022134855,
1611.4,412,-13.4,412,4,3.91,3.85,6,14022134855,
1609.1,568,-5.6,487,5,3.3,3.29,3,14022134855,
1607.3,415,7.9,415,6,3.87,3.94,6,14022134855,
1610.7,485,-2.6,485,7,3.32,3.32,4,14022134855,
1609.7,461,18.5,461,8,3.49,3.64,5,14022134855,
1609.9,468,-15.2,468,9,3.44,3.4,4,14022134855,
1608.3,444,-2.7,444,10,3.62,3.63,5,14022134855,
1610.4,461,-4.8,461,11,3.49,3.49,4,14022134855,
1608.0,447,1.4,447,12,3.6,3.61,5,14022134855,
0.0,2,0.0,2,13,0.0,0.0,1,14022134855,
